"Strategy","Costs ($)","QALYs","Incremental Costs ($)","Incremental QALYs","ICER ($/QALY)","Status"
"SoC","16,441",0.34,NA,NA,NA,"ND"
"Exp","50,683",0.65,"34,241",0.31,"109,944","ND"
