"Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"SoC",15659.4204098162,0.61253847684602,NA,NA,NA,"ND"
"Bev",50468.6045335706,0.785416435790623,34809.1841237544,0.172877958944604,201351.197898562,"ND"
