Strategy,Cost,Effect,Inc_Cost,Inc_Effect,ICER,Status
SoC,21322.82895,0.532014287,NA,NA,NA,ND
Exp,46155.42072,0.739404405,24832.59177,0.207390117,119738.5493,ND
