"Strategy","Costs ($)","QALYs","Incremental Costs ($)","Incremental QALYs","ICER ($/QALY)","Status"
"SoC","21,355",0.53,NA,NA,NA,"ND"
"Exp","46,111",0.74,"24,756",0.21,"119,668","ND"
