,SoC,Exp,Incremental cost,SoC,Exp,Incremental effect,,ICER
71,21401.69092,46198.33615,24796.64522,0.366467565,0.662096266,0.295628701,,83877.6652
72,22512.33895,43397.70629,20885.36734,0.339493797,0.650373668,0.310879872,,67181.47185
73,21151.09314,43277.7026,22126.60946,0.351435054,0.66326341,0.311828355,,70957.65693
74,22630.66374,54120.70435,31490.04062,0.366969953,0.791891155,0.424921202,,74107.95336
75,20489.0456,38823.13611,18334.09052,0.321437722,0.590701624,0.269263901,,68089.67127
76,20164.72689,43356.80075,23192.07385,0.279098928,0.551182006,0.272083079,,85238.94226
77,23274.00604,47987.66598,24713.65994,0.354253985,0.733427816,0.379173831,,65177.65184
78,21121.78906,44389.66862,23267.87956,0.342998667,0.657768214,0.314769547,,73920.3642
79,20463.89482,45003.1971,24539.30229,0.296782794,0.523690842,0.226908048,,108146.4609
80,22107.17789,53100.91209,30993.7342,0.29585857,0.65502194,0.35916337,,86294.25151
81,22503.15015,51087.93881,28584.78867,0.350565844,0.705143849,0.354578005,,80616.36167
82,19288.82014,42453.42499,23164.60485,0.308091555,0.558067164,0.24997561,,92667.46019
83,19899.77063,40734.04353,20834.2729,0.305835277,0.621066683,0.315231406,,66091.99626
84,21174.07201,46845.28232,25671.21031,0.260928803,0.551738177,0.290809374,,88275.04395
85,18631.43026,43123.92445,24492.49419,0.351279385,0.650348175,0.29906879,,81895.85463
86,22279.23062,40545.3629,18266.13228,0.338056127,0.652534875,0.314478747,,58083.83692
87,21974.64771,44108.9926,22134.34489,0.312418513,0.67044532,0.358026806,,61823.14982
88,21336.00563,40761.04,19425.03438,0.282520776,0.64551089,0.362990114,,53513.9488
89,21279.70167,50208.42537,28928.7237,0.253256658,0.616059532,0.362802873,,79736.75469
90,20572.08793,47283.39419,26711.30626,0.34780145,0.646552948,0.298751498,,89409.78173
91,18626.58496,49937.54712,31310.96216,0.350947271,0.753583307,0.402636037,,77764.92738
92,21119.65258,47199.3153,26079.66272,0.371691225,0.672560021,0.300868796,,86681.18145
93,18963.94878,38842.20328,19878.25451,0.321110759,0.641936626,0.320825867,,61959.63782
94,20961.35383,52465.1329,31503.77907,0.30232612,0.699862051,0.39753593,,79247.62688
95,21682.46987,49472.55938,27790.08951,0.410405206,0.699666121,0.289260915,,96072.74287
96,19164.4821,48203.49943,29039.01734,0.342933578,0.546190687,0.203257109,,142868.3973
97,18920.70688,46076.99524,27156.28836,0.305896445,0.612459139,0.306562694,,88583.14765
98,20925.68966,44355.11309,23429.42343,0.313821457,0.591478467,0.27765701,,84382.61076
99,20355.02519,42166.71583,21811.69064,0.314957761,0.656113117,0.341155356,,63934.77416
100,26242.5343,43389.53847,17147.00417,0.486734281,0.702471182,0.2157369,,79481.09082
101,23190.57462,46782.05356,23591.47894,0.396983819,0.722561416,0.325577597,,72460.38777
102,20345.02698,44093.44316,23748.41619,0.278752449,0.512513009,0.23376056,,101592.9129
103,21517.53563,50322.64724,28805.11161,0.254812027,0.602940465,0.348128438,,82742.77087
104,21660.19876,44732.95797,23072.75921,0.338210756,0.63612364,0.297912884,,77448.00735
105,24841.59111,49432.26406,24590.67295,0.317044933,0.656117691,0.339072758,,72523.29296
106,19864.04992,46222.21389,26358.16397,0.374400083,0.71195077,0.337550687,,78086.53638
107,19688.43001,45567.75846,25879.32845,0.323591245,0.685505983,0.361914738,,71506.6997
108,23675.03337,48275.26813,24600.23475,0.33334488,0.626121957,0.292777077,,84023.77336
109,22674.6189,51941.19161,29266.57272,0.357495111,0.709727036,0.352231925,,83088.92706
110,20612.3918,53345.23114,32732.83934,0.376697616,0.822554648,0.445857031,,73415.55038
111,20997.75285,45558.72557,24560.97272,0.331674879,0.589260463,0.257585584,,95350.72724
112,19815.59784,45584.81218,25769.21434,0.349718432,0.629708531,0.279990098,,92036.16302
113,19638.75576,50901.51084,31262.75507,0.368851171,0.767171568,0.398320397,,78486.45285
114,20381.47344,46984.64379,26603.17035,0.268432861,0.5531301,0.284697239,,93443.72449
115,22133.21328,48224.51069,26091.29741,0.410084837,0.64693377,0.236848933,,110160.0802
116,22885.49332,51261.17833,28375.68501,0.313599847,0.568920694,0.255320847,,111137.3604
117,23171.9877,44880.4596,21708.47189,0.298266785,0.708959695,0.41069291,,52858.16088
118,24368.44534,44704.29041,20335.84508,0.377982953,0.701253469,0.323270517,,62906.58764
119,21589.38047,46862.50083,25273.12036,0.391992152,0.686842985,0.294850833,,85714.93628
120,20332.14836,42626.77829,22294.62993,0.360480035,0.638733906,0.278253871,,80123.3414
121,20461.49891,48812.15871,28350.6598,0.375969076,0.768287891,0.392318815,,72264.33884
122,22762.78762,50313.83338,27551.04576,0.362031248,0.688414415,0.326383168,,84413.1943
123,21595.79107,41024.67296,19428.88189,0.35904924,0.611424788,0.252375548,,76984.01075
124,21895.74796,43226.09614,21330.34818,0.354944212,0.651554174,0.296609962,,71913.79567
125,20587.59795,43687.52216,23099.92422,0.251287332,0.466265976,0.214978643,,107452.1815
126,22949.1785,59072.42781,36123.24931,0.338549902,0.674868735,0.336318833,,107407.7505
127,20056.76253,44735.34698,24678.58444,0.331139467,0.629541617,0.29840215,,82702.43513
128,24388.91984,51607.71354,27218.79369,0.330094248,0.629725167,0.299630919,,90841.07121
129,24329.03211,54774.65333,30445.62122,0.273577556,0.661432975,0.387855419,,78497.34641
130,18718.54063,42468.4283,23749.88767,0.312602726,0.664482829,0.351880103,,67494.26138
131,19467.27366,48201.4251,28734.15144,0.360885477,0.704535184,0.343649707,,83614.65427
132,20652.89574,39195.01624,18542.12049,0.305794084,0.592280087,0.286486004,,64722.60512
133,22519.91705,45283.31899,22763.40193,0.236278226,0.516145354,0.279867128,,81336.46177
134,19708.1644,42464.67262,22756.50822,0.331890518,0.622871274,0.290980756,,78206.23111
135,20808.25748,50824.34421,30016.08673,0.406385944,0.73277169,0.326385746,,91965.06631
136,18880.36873,45085.19226,26204.82352,0.281106918,0.673233522,0.392126603,,66827.45651
137,22898.3212,40397.84991,17499.52871,0.36907098,0.661154837,0.292083857,,59912.687
138,23607.53092,44697.2989,21089.76798,0.304210088,0.567753082,0.263542994,,80024.013
139,18368.52146,35245.3131,16876.79164,0.336751337,0.473291318,0.136539981,,123603.2956
140,21063.55195,46973.80938,25910.25743,0.485430379,0.75427084,0.268840461,,96377.81938
141,23092.08509,51074.92022,27982.83513,0.279532308,0.647176402,0.367644094,,76113.92531
142,18630.45498,45348.23327,26717.77829,0.319055879,0.60095762,0.281901742,,94776.91819
143,23112.3578,45646.76605,22534.40825,0.282343893,0.484656693,0.202312801,,111383.9964
144,23701.59159,50464.63465,26763.04306,0.305227874,0.780984012,0.475756138,,56253.69996
145,21267.57615,52227.00632,30959.43017,0.357136029,0.766376683,0.409240654,,75650.91561
146,21781.28223,43035.16719,21253.88496,0.343003336,0.66025084,0.317247504,,66994.64832
147,22615.83546,49838.39294,27222.55748,0.325245831,0.561511027,0.236265196,,115220.3454
148,22128.69273,45525.28239,23396.58966,0.318167645,0.503175675,0.18500803,,126462.5628
149,18832.74959,43076.00334,24243.25374,0.420547548,0.684315629,0.263768081,,91911.249
150,26537.06432,45673.60967,19136.54535,0.351082546,0.703312533,0.352229987,,54329.6881
151,20364.80922,48504.24233,28139.43311,0.331529268,0.598641013,0.267111744,,105347.0455
152,20358.99568,39792.35601,19433.36033,0.316642529,0.539271127,0.222628598,,87290.49415
153,19813.00815,43680.43802,23867.42986,0.298326416,0.541193709,0.242867293,,98273.54501
154,24016.82842,50103.56689,26086.73847,0.415946559,0.706032339,0.29008578,,89927.67046
155,19977.7642,46112.3811,26134.6169,0.298285827,0.615814884,0.317529057,,82306.22145
156,21312.61894,41027.46063,19714.84169,0.279452199,0.548086276,0.268634077,,73389.20626
157,21057.87143,41170.45814,20112.58671,0.393363145,0.767497257,0.374134112,,53757.69296
158,20511.30365,48470.56095,27959.2573,0.363374519,0.614014111,0.250639592,,111551.6389
159,23796.04133,57868.09574,34072.05441,0.313246125,0.792383593,0.479137468,,71111.22945
160,20126.08877,47132.6496,27006.56083,0.381667982,0.732281803,0.350613821,,77026.51519
161,20225.81029,42573.80121,22347.99092,0.369129369,0.639612445,0.270483076,,82622.51113
162,21127.94305,44741.66119,23613.71814,0.3311008,0.684266727,0.353165927,,66862.95689
163,25242.84783,53657.66407,28414.81625,0.339881655,0.702452753,0.362571098,,78370.32895
164,20952.04657,42846.77952,21894.73295,0.267209894,0.59533629,0.328126396,,66726.5212
165,19232.07218,38923.78109,19691.70891,0.286282754,0.473235245,0.186952491,,105330.0164
166,20009.65246,41871.34296,21861.6905,0.331977857,0.720092644,0.388114787,,56327.89902
167,22681.56977,44647.68915,21966.11938,0.305574963,0.67679251,0.371217547,,59173.17099
168,22377.15469,50888.85674,28511.70205,0.384774703,0.672572277,0.287797575,,99068.59734
169,20444.50624,42100.54515,21656.03891,0.350395619,0.664942642,0.314547023,,68848.3353
170,19455.75808,46217.14188,26761.3838,0.35752547,0.75388848,0.39636301,,67517.35936
171,24821.44859,47917.53246,23096.08387,0.316813074,0.657028204,0.34021513,,67886.70405
172,20129.79803,46706.10078,26576.30275,0.262976715,0.526295488,0.263318773,,100928.2493
173,21837.17096,51398.28286,29561.1119,0.329977152,0.628755355,0.298778202,,98939.98845
174,19373.91131,50736.16972,31362.25842,0.332947278,0.651659422,0.318712145,,98403.08552
175,20001.77907,45962.73482,25960.95575,0.257538085,0.521345568,0.263807483,,98408.71613
176,22828.6014,48543.75924,25715.15784,0.392450518,0.744198789,0.351748271,,73106.70713
177,21457.80942,43323.84949,21866.04008,0.325132777,0.619902775,0.294769998,,74180.00545
178,20674.44182,40470.55355,19796.11173,0.296954408,0.57121514,0.274260732,,72179.89833
179,21776.7813,50045.23082,28268.44952,0.249680872,0.529456171,0.279775299,,101039.8331
180,21730.81824,47607.08842,25876.27018,0.30705095,0.637259206,0.330208256,,78363.48644
181,21974.88471,45566.85945,23591.97474,0.346403717,0.708173621,0.361769904,,65212.65168
182,19591.96814,43148.91898,23556.95084,0.35409621,0.717549635,0.363453425,,64814.22155
183,21384.45955,50802.23952,29417.77997,0.280211283,0.613592135,0.333380852,,88240.76073
184,23657.31026,46048.40962,22391.09936,0.26072768,0.515089549,0.254361869,,88028.52192
185,22047.3968,46927.66512,24880.26832,0.306168996,0.572431392,0.266262396,,93442.66662
186,23333.92672,52021.93902,28688.0123,0.337193245,0.705942226,0.368748981,,77798.21435
187,22489.90886,41801.41015,19311.50129,0.346183729,0.631626772,0.285443044,,67654.48212
188,20456.30208,45622.93279,25166.63072,0.302265863,0.597878179,0.295612316,,85133.9047
189,20155.88026,41272.49285,21116.61259,0.292622494,0.623649131,0.331026637,,63791.2791
190,19824.63163,48345.84743,28521.2158,0.402644015,0.716012215,0.3133682,,91015.02905
191,19893.53265,51391.806,31498.27335,0.369366349,0.700068145,0.330701795,,95246.75639
192,20366.44903,43013.42311,22646.97408,0.36582268,0.685860169,0.320037489,,70763.50382
193,22399.58077,44556.57711,22156.99635,0.355877552,0.666400547,0.310522995,,71353.80214
194,21233.34967,43661.65935,22428.30968,0.332134106,0.65957858,0.327444474,,68495.00131
195,20118.40264,41741.96915,21623.56652,0.349130378,0.637769388,0.28863901,,74915.6067
196,21264.14036,51148.40659,29884.26623,0.337030451,0.750802425,0.413771974,,72223.99794
197,20697.99485,44236.29687,23538.30201,0.284058945,0.615231679,0.331172733,,71075.60388
198,21163.67984,50486.33166,29322.65183,0.3577999,0.558793174,0.200993273,,145888.7223
199,22403.63433,47742.34838,25338.71405,0.317314705,0.591193092,0.273878387,,92518.12214
200,22435.60717,41819.34746,19383.74029,0.351343694,0.547390572,0.196046877,,98872.98662
201,19525.14923,40642.44223,21117.29301,0.298533418,0.53588623,0.237352812,,88970.05608
202,20699.84612,48514.1118,27814.26568,0.347086857,0.663035306,0.315948449,,88034.18976
203,21965.76569,46862.6655,24896.89982,0.337200865,0.680293703,0.343092837,,72566.07285
204,20350.31844,56492.05119,36141.73275,0.377966186,0.728447951,0.350481765,,103120.1515
205,20632.27268,46153.73603,25521.46335,0.34707797,0.621198388,0.274120418,,93103.10957
206,22698.66427,45592.47815,22893.81388,0.308162232,0.691140217,0.382977986,,59778.40696
207,19693.24261,47358.3603,27665.11769,0.330148404,0.694280517,0.364132112,,75975.49556
208,21200.95501,49588.90065,28387.94565,0.320048959,0.625649928,0.305600969,,92892.19776
209,18626.3065,38293.33732,19667.03082,0.339141712,0.622869793,0.283728081,,69316.47631
210,23529.88885,69029.06931,45499.18046,0.269381712,0.739720403,0.470338691,,96737.0563
211,20655.09549,40909.17871,20254.08322,0.316854396,0.609263759,0.292409364,,69266.19233
212,22340.61717,43151.60514,20810.98798,0.358343826,0.678859849,0.320516023,,64929.6338
213,23726.92418,57625.08775,33898.16357,0.378231759,0.691874637,0.313642878,,108078.8564
214,22929.93507,42840.19873,19910.26367,0.31868671,0.564007217,0.245320507,,81160.20931
215,23071.99619,42477.94032,19405.94413,0.343964798,0.66455678,0.320591982,,60531.59539
216,19055.28226,39927.48347,20872.20121,0.345640021,0.600054147,0.254414125,,82040.26092
217,21443.79159,39954.01774,18510.22615,0.386432318,0.669901639,0.28346932,,65298.86946
218,21213.76116,43142.94187,21929.18071,0.32554475,0.687463763,0.361919013,,60591.40282
219,21077.07105,51404.10961,30327.03857,0.306481489,0.649781495,0.343300007,,88339.75524
220,20658.66388,45040.20193,24381.53805,0.282991205,0.55655162,0.273560415,,89126.70363
221,23225.27674,39298.50775,16073.23101,0.335895089,0.616486816,0.280591728,,57283.33883
222,21368.26698,46666.90167,25298.63469,0.327059459,0.658736904,0.331677445,,76274.81169
223,19876.13541,45072.76719,25196.63178,0.326326248,0.656972966,0.330646718,,76204.08857
224,19619.74487,46967.86149,27348.11662,0.333131746,0.638287033,0.305155287,,89620.32695
225,21385.96599,50146.40147,28760.43548,0.235974528,0.450859085,0.214884558,,133841.3323
226,22283.80551,53216.69508,30932.88957,0.366300021,0.681573763,0.315273742,,98114.38576
227,24005.50908,53273.91825,29268.40917,0.316105442,0.763789864,0.447684422,,65377.32324
228,22017.63171,42134.35099,20116.71929,0.401691837,0.698948415,0.297256578,,67674.59758
229,20895.97378,47588.85271,26692.87893,0.347073765,0.646178014,0.299104248,,89242.72751
230,21880.96698,47221.82371,25340.85673,0.303073644,0.598045067,0.294971422,,85909.53155
231,21424.30247,38518.62482,17094.32235,0.396213477,0.663984293,0.267770816,,63839.37799
232,21968.87396,46602.60897,24633.73501,0.376125488,0.630985004,0.254859516,,96656.13179
233,20570.27471,44178.323,23608.04829,0.334915964,0.632468066,0.297552102,,79340.88885
234,20359.84895,50014.9983,29655.14935,0.371014795,0.725825551,0.354810757,,83580.18692
235,22176.70439,48233.15246,26056.44807,0.344757362,0.705341077,0.360583715,,72261.85493
236,21069.05064,46866.87657,25797.82593,0.33648015,0.660982671,0.324502521,,79499.61641
237,19899.88731,44479.41146,24579.52415,0.334111088,0.633092645,0.298981558,,82210.83721
238,21757.20208,50451.9842,28694.78213,0.28923486,0.580323425,0.291088565,,98577.49682
239,20577.23867,48847.25928,28270.02061,0.305125608,0.6374038,0.332278192,,85079.37417
240,19579.21317,48293.4597,28714.24652,0.350626915,0.60463721,0.254010295,,113043.6327
241,21806.62638,47970.55129,26163.9249,0.294796838,0.696763015,0.401966176,,65089.86685
242,23452.23559,49677.79881,26225.56322,0.294299674,0.713746828,0.419447154,,62524.11762
243,20027.30723,44115.78072,24088.47349,0.352445286,0.66873392,0.316288633,,76159.7824
244,22823.36418,46789.45861,23966.09444,0.250370028,0.500292677,0.24992265,,95894.04744
245,20609.32555,37708.80864,17099.4831,0.326332691,0.614234005,0.287901314,,59393.55695
246,19280.44157,43611.71322,24331.27165,0.342059559,0.631622596,0.289563037,,84027.54678
247,22628.18771,45012.61426,22384.42655,0.362550774,0.659381247,0.296830473,,75411.48429
248,20956.01364,40779.02231,19823.00866,0.276266469,0.563448939,0.28718247,,69025.83113
249,24251.57173,47949.13441,23697.56268,0.345358179,0.686008815,0.340650635,,69565.59073
250,24283.68449,47085.62534,22801.94086,0.296665471,0.567126202,0.270460732,,84307.76892
251,20041.34969,50593.26412,30551.91442,0.340698107,0.601425983,0.260727876,,117179.317
252,21810.85589,46413.76577,24602.90988,0.374075527,0.641348221,0.267272694,,92051.7151
253,23634.13913,54529.88504,30895.74591,0.301715733,0.682895786,0.381180053,,81052.89263
254,22383.26151,39006.47303,16623.21152,0.32972673,0.588048297,0.258321567,,64350.84655
255,22270.13938,49194.59746,26924.45808,0.381166995,0.667084696,0.285917701,,94168.55974
256,22918.92992,49449.73879,26530.80887,0.431587604,0.715709073,0.284121469,,93378.40246
257,19901.55924,36298.33626,16396.77703,0.296906239,0.515288465,0.218382226,,75082.92828
258,19628.76384,44711.12867,25082.36483,0.28159681,0.54945914,0.267862331,,93639.01513
259,23601.23447,50733.37902,27132.14456,0.320932844,0.724027318,0.403094474,,67309.64155
260,20518.79076,47987.10859,27468.31783,0.341547297,0.691088315,0.349541018,,78583.96128
261,22836.37226,44390.39856,21554.0263,0.327633766,0.670928853,0.343295087,,62785.71151
262,22254.01881,53790.53127,31536.51246,0.383966049,0.72694859,0.342982542,,91947.86509
263,21971.72199,38234.68075,16262.95876,0.316466722,0.547460095,0.230993373,,70404.43852
264,20891.52678,48378.73595,27487.20917,0.344430076,0.646248829,0.301818753,,91071.9062
265,19224.96025,56477.63706,37252.6768,0.367967862,0.731594651,0.363626788,,102447.5589
266,19822.51481,43148.87591,23326.3611,0.288415664,0.532110697,0.243695033,,95719.47694
267,23258.59849,48044.63298,24786.03449,0.332887617,0.66242803,0.329540413,,75213.94501
268,21303.6207,46350.64179,25047.02109,0.302093796,0.584430228,0.282336432,,88713.3867
269,20730.33286,38516.38541,17786.05255,0.331360733,0.604470506,0.273109773,,65124.18918
270,23598.82118,41233.89742,17635.07625,0.397776093,0.584169699,0.186393606,,94612.02369
271,19700.89055,44239.1453,24538.25475,0.280696778,0.667929715,0.387232938,,63368.2013
272,18985.04187,41795.55064,22810.50877,0.351424949,0.715439116,0.364014167,,62663.79399
273,17951.69057,38805.1425,20853.45193,0.353748389,0.614167746,0.260419357,,80076.42816
274,20280.19537,45099.52668,24819.33132,0.329409814,0.68237945,0.352969636,,70315.76879
275,21613.84232,56788.50852,35174.6662,0.331331039,0.721907618,0.390576579,,90058.30901
276,22426.38289,50397.28808,27970.9052,0.340504031,0.699058514,0.358554483,,78010.19512
277,20388.74033,39577.40236,19188.66203,0.34945783,0.672833954,0.323376124,,59338.52443
278,20770.34056,42250.24289,21479.90233,0.325593589,0.602679576,0.277085987,,77520.7096
279,20742.35274,41870.82978,21128.47704,0.333322665,0.661501359,0.328178694,,64381.01392
280,20740.91818,49393.033,28652.11482,0.391255751,0.733336557,0.342080806,,83758.32359
281,30062.86207,66686.87025,36624.00817,0.353310281,0.750599767,0.397289486,,92184.69017
282,21325.06014,45323.23296,23998.17283,0.396289654,0.687475198,0.291185544,,82415.39906
283,21825.23477,51137.36953,29312.13477,0.294121263,0.71369429,0.419573027,,69861.81873
284,20325.64526,35533.33014,15207.68489,0.395393673,0.643831198,0.248437525,,61213.31668
285,22194.21961,41510.68254,19316.46293,0.342600684,0.650352931,0.307752247,,62766.27749
286,22900.60144,50547.093,27646.49156,0.39494741,0.703137761,0.308190351,,89705.89603
287,20636.34713,44923.70847,24287.36133,0.308610665,0.67833884,0.369728175,,65689.77692
288,22380.54108,45234.83727,22854.29619,0.34006867,0.554087627,0.214018957,,106786.317
289,21169.19645,47233.45941,26064.26296,0.355859201,0.716325494,0.360466293,,72307.07413
290,22447.14667,48918.20147,26471.0548,0.276366046,0.581723127,0.305357081,,86688.85208
291,19779.10739,37917.10294,18137.99556,0.271947358,0.533472831,0.261525472,,69354.60397
292,22783.44033,39733.33265,16949.89232,0.329200508,0.588417938,0.259217431,,65388.70585
293,19861.47696,50619.12656,30757.6496,0.361369981,0.68523583,0.323865849,,94970.33939
294,23104.03718,54610.28415,31506.24698,0.291362168,0.662877369,0.371515201,,84804.73187
295,19759.3404,55820.54174,36061.20134,0.316031525,0.598480162,0.282448637,,127673.4832
296,23754.91886,41337.58577,17582.6669,0.263159877,0.472053734,0.208893857,,84170.33974
297,20961.58035,38841.01024,17879.42989,0.271199357,0.504394547,0.233195191,,76671.52073
298,19289.48079,52181.54506,32892.06427,0.346311097,0.69550469,0.349193593,,94194.35211
299,21847.55833,39486.06572,17638.50738,0.385876916,0.657791666,0.27191475,,64867.7844
300,20411.19721,42450.48637,22039.28916,0.366221112,0.656363659,0.290142548,,75960.21112
301,21417.03741,48780.1036,27363.06619,0.360948879,0.690157534,0.329208655,,83117.69983
302,22631.50599,50161.77145,27530.26545,0.355485163,0.667610705,0.312125542,,88202.53956
303,22044.38809,45362.8598,23318.47171,0.312822208,0.571868707,0.259046499,,90016.5484
304,21493.07267,43783.72988,22290.65721,0.357643473,0.601988714,0.244345241,,91226.07474
305,19749.50716,42059.04319,22309.53603,0.322368989,0.641224929,0.31885594,,69967.44693
306,20973.46921,41201.55872,20228.0895,0.30442313,0.583956911,0.279533781,,72363.66721
307,21763.65263,48749.5157,26985.86307,0.355650749,0.688738185,0.333087435,,81017.35531
308,22717.37236,43116.94066,20399.5683,0.2682793,0.554544715,0.286265416,,71261.02972
