"","SoC","Exp"
"80",18360.1907530271,59241.2169192707
"81",18807.3996745353,56994.9477323932
"82",14714.4625902902,46681.8288876588
"83",15837.1950343829,44349.8652051892
"84",17207.254289101,51280.7096063477
"85",16116.1805065689,49057.6523185432
"86",18116.3500613003,44495.5854048366
"87",18225.2780414599,49562.6474989425
"88",17553.73533906,44300.8517094505
"89",16800.2733477641,55559.5754127502
"90",16929.8989151397,52532.5759839486
"91",15877.5149515411,55897.717164843
"92",16916.8212470117,51531.5230276574
"93",15327.1319578063,42536.9214899457
"94",17863.3136080986,58278.6857190401
"95",18397.4950988757,54059.7893663345
"96",15876.0209966892,52714.31259763
"97",15973.4775690323,50837.9742556709
"98",17287.3704593403,47990.2043597655
"99",15992.4800906899,47381.4386415064
"100",21852.3335295008,47983.1103951674
"101",19043.7065124228,50680.7077992854
"102",16312.3646340434,49066.2958842635
"103",17489.8308501508,56384.8407485715
"104",17381.4777318295,49057.2898558732
"105",19027.7165184689,53359.5179673435
"106",16530.9025693552,51351.6953812442
"107",16328.1450968422,50439.4425361015
"108",19814.1417425578,54732.0244581549
"109",18491.7201872805,58168.9619394661
"110",16799.4485256891,59735.7594699928
"111",17066.2119368535,49852.3944943474
"112",16997.0117423615,50649.0976963538
"113",16379.7272755742,56340.1951003446
"114",17002.6492611712,52295.574211436
"115",19003.5094510751,53065.5752916042
"116",18759.9881682003,56912.1689083217
"117",18145.7574293426,49496.4850185426
"118",19566.7554918966,48689.7215779201
"119",18092.6740270864,51374.2891428233
"120",16056.3673477855,47124.4292779841
"121",16799.811115791,54181.7580927542
"122",18597.3671171371,55453.3961595622
"123",18624.253741102,46104.6325277604
"124",17516.9868638611,47832.6863485229
"125",17010.9577909735,48421.2943378591
"126",18418.4109194491,64460.0958613235
"127",17280.5872653418,49955.6809379532
"128",19514.7905072672,56192.4352822372
"129",18890.4803924243,60480.4572691254
"130",15070.5202540946,47486.8908303812
"131",15950.6985041644,53571.246107441
"132",16597.6151421617,44150.3624314616
"133",18484.2149808804,50956.6530706311
"134",16408.7935991528,47281.1530295979
"135",17341.3204065189,54917.8816667307
"136",15357.9036161327,50425.25446896
"137",18454.0279509852,43935.8546110328
"138",19635.4187850476,49293.7367746075
"139",14946.4035350414,37512.0815145323
"140",17783.2609191383,50943.8378709825
"141",18125.4363616603,56485.1499318072
"142",16117.8935622381,50691.3473321553
"143",18666.4859565814,49615.3548242141
"144",19295.5204512991,56682.4251928399
"145",17442.0794679126,57077.5728445166
"146",17944.2995809468,47970.1025082847
"147",19091.0852737062,55422.395535934
"148",17507.146359622,49265.5238735979
"149",16291.1703491502,47538.0553558987
"150",20769.7271483873,50955.0836356698
"151",16311.022892874,53795.0521966452
"152",16679.826158998,43456.2266907135
"153",16298.9680132868,47996.1716358221
"154",20014.1086362369,54890.4735382326
"155",16594.9334432862,51640.2740136555
"156",17932.1975832697,45698.7637843068
"157",17237.519972403,45367.0443798363
"158",17214.4555634191,52309.6627483161
"159",18289.7932887127,62415.174539484
"160",16311.7540271175,52813.6443478463
"161",17263.0179332911,47538.1449627225
"162",16933.3939024729,48724.2193735902
"163",19849.4371756245,59055.3251742591
"164",16320.1712884897,46295.2680375416
"165",15709.8604997387,43265.6627896979
"166",15881.306676886,46637.3583721782
"167",18804.5645481633,49572.3347365726
"168",17922.39970891,56823.3551554659
"169",18053.3385309475,46938.677417308
"170",16564.4818354042,51841.1541099506
"171",20497.7209818736,52543.6645824144
"172",16800.4782620163,51274.8139381129
"173",18179.8888528369,56405.190429969
"174",15909.6679409807,57227.2891293938
"175",16802.3930949492,51900.7050382717
"176",18140.9514055784,53466.1248229762
"177",17828.4122237747,49266.7707506207
"178",16458.8745598835,44199.0264669582
"179",18169.6829092233,55696.7810158695
"180",17108.7247101521,51071.7017064874
"181",19415.3782659207,51090.4515312135
"182",16031.6951176931,48180.5348881195
"183",17766.1094117703,55916.6458970647
"184",19348.7942745176,51341.7877058544
"185",18876.7041312457,51527.9390905367
"186",19578.4571616005,57820.1991506432
"187",18848.7678140945,45328.0662847233
"188",17303.49230903,50250.5314220203
"189",16074.426001999,45220.6133172853
"190",16855.4054022245,52766.3141199777
"191",16673.7932023699,57149.5194110527
"192",16831.5135668004,48005.5280075303
"193",17758.0061729918,49468.2244097606
"194",16600.6432293858,48267.7601152976
"195",16387.6503694347,45892.0937511945
"196",17744.4786076729,55510.4154897123
"197",16821.071103347,49038.0568334904
"198",18082.705029673,55531.9389384706
"199",17861.9091192501,51543.7351141086
"200",18445.5890466945,45658.8906982624
"201",16217.6785921139,45383.1173479529
"202",16882.4171637356,53394.1187750938
"203",18469.0947249051,50724.4403212457
"204",17325.5695762873,62665.2665333231
"205",17951.3698459576,51261.9282500429
"206",17887.9974350689,49141.3603645385
"207",16114.6683475983,52729.982071096
"208",16688.5419683194,54820.2209310836
"209",15853.1992072496,42877.3355086485
"210",18740.5777614549,75105.0229946526
"211",16248.2669416613,45413.8523559644
"212",17512.2880129857,46787.622487677
"213",18822.0549056852,63392.6179430664
"214",18357.6626042083,46378.2553560511
"215",17591.7791084007,46495.5596621161
"216",16457.2635394041,44102.0322404073
"217",18047.8382635489,44205.3694640571
"218",17239.2533377417,48571.2088606809
"219",17072.753994507,56799.3757289019
"220",17780.1550186774,49561.8296308609
