"","parameter","strategy","param_val","outcome_val"
"1","HR_FP_Exp","Standard.of.Care",0.53,107460.49097391
"2","HR_FP_Exp","Standard.of.Care",0.533434343434343,107511.527689973
"3","HR_FP_Exp","Standard.of.Care",0.536868686868687,107562.691398913
"4","HR_FP_Exp","Standard.of.Care",0.54030303030303,107613.982215347
"5","HR_FP_Exp","Standard.of.Care",0.543737373737374,107665.400263208
"6","HR_FP_Exp","Standard.of.Care",0.547171717171717,107716.945675514
"7","HR_FP_Exp","Standard.of.Care",0.550606060606061,107768.618594161
"8","HR_FP_Exp","Standard.of.Care",0.554040404040404,107820.419169709
"9","HR_FP_Exp","Standard.of.Care",0.557474747474747,107872.347561188
"10","HR_FP_Exp","Standard.of.Care",0.560909090909091,107924.403935904
"11","HR_FP_Exp","Standard.of.Care",0.564343434343434,107976.588469249
"12","HR_FP_Exp","Standard.of.Care",0.567777777777778,108028.901344529
"13","HR_FP_Exp","Standard.of.Care",0.571212121212121,108081.342752788
"14","HR_FP_Exp","Standard.of.Care",0.574646464646465,108133.912892644
"15","HR_FP_Exp","Standard.of.Care",0.578080808080808,108186.611970126
"16","HR_FP_Exp","Standard.of.Care",0.581515151515152,108239.440198523
"17","HR_FP_Exp","Standard.of.Care",0.584949494949495,108292.397798235
"18","HR_FP_Exp","Standard.of.Care",0.588383838383838,108345.484996627
"19","HR_FP_Exp","Standard.of.Care",0.591818181818182,108398.702027896
"20","HR_FP_Exp","Standard.of.Care",0.595252525252525,108452.049132934
"21","HR_FP_Exp","Standard.of.Care",0.598686868686869,108505.526559203
"22","HR_FP_Exp","Standard.of.Care",0.602121212121212,108559.134560613
"23","HR_FP_Exp","Standard.of.Care",0.605555555555556,108612.873397396
"24","HR_FP_Exp","Standard.of.Care",0.608989898989899,108666.743336004
"25","HR_FP_Exp","Standard.of.Care",0.612424242424242,108720.744648988
"26","HR_FP_Exp","Standard.of.Care",0.615858585858586,108774.877614899
"27","HR_FP_Exp","Standard.of.Care",0.619292929292929,108829.142518184
"28","HR_FP_Exp","Standard.of.Care",0.622727272727273,108883.539649089
"29","HR_FP_Exp","Standard.of.Care",0.626161616161616,108938.069303563
"30","HR_FP_Exp","Standard.of.Care",0.62959595959596,108992.731783171
"31","HR_FP_Exp","Standard.of.Care",0.633030303030303,109047.527395001
"32","HR_FP_Exp","Standard.of.Care",0.636464646464647,109102.456451588
"33","HR_FP_Exp","Standard.of.Care",0.63989898989899,109157.519270826
"34","HR_FP_Exp","Standard.of.Care",0.643333333333333,109212.716175896
"35","HR_FP_Exp","Standard.of.Care",0.646767676767677,109268.04749519
"36","HR_FP_Exp","Standard.of.Care",0.65020202020202,109323.513562238
"37","HR_FP_Exp","Standard.of.Care",0.653636363636364,109379.11471564
"38","HR_FP_Exp","Standard.of.Care",0.657070707070707,109434.851299003
"39","HR_FP_Exp","Standard.of.Care",0.66050505050505,109490.723660874
"40","HR_FP_Exp","Standard.of.Care",0.663939393939394,109546.732154681
"41","HR_FP_Exp","Standard.of.Care",0.667373737373737,109602.877138673
"42","HR_FP_Exp","Standard.of.Care",0.670808080808081,109659.158975871
"43","HR_FP_Exp","Standard.of.Care",0.674242424242424,109715.578034003
"44","HR_FP_Exp","Standard.of.Care",0.677676767676768,109772.134685461
"45","HR_FP_Exp","Standard.of.Care",0.681111111111111,109828.829307251
"46","HR_FP_Exp","Standard.of.Care",0.684545454545455,109885.662280944
"47","HR_FP_Exp","Standard.of.Care",0.687979797979798,109942.633992631
"48","HR_FP_Exp","Standard.of.Care",0.691414141414141,109999.74483288
"49","HR_FP_Exp","Standard.of.Care",0.694848484848485,110056.995196696
"50","HR_FP_Exp","Standard.of.Care",0.698282828282828,110114.385483483
"51","HR_FP_Exp","Standard.of.Care",0.701717171717172,110171.916097001
"52","HR_FP_Exp","Standard.of.Care",0.705151515151515,110229.587445335
"53","HR_FP_Exp","Standard.of.Care",0.708585858585859,110287.399940859
"54","HR_FP_Exp","Standard.of.Care",0.712020202020202,110345.354000205
"55","HR_FP_Exp","Standard.of.Care",0.715454545454545,110403.450044229
"56","HR_FP_Exp","Standard.of.Care",0.718888888888889,110461.688497983
"57","HR_FP_Exp","Standard.of.Care",0.722323232323232,110520.069790688
"58","HR_FP_Exp","Standard.of.Care",0.725757575757576,110578.594355707
"59","HR_FP_Exp","Standard.of.Care",0.729191919191919,110637.262630518
"60","HR_FP_Exp","Standard.of.Care",0.732626262626263,110696.075056691
"61","HR_FP_Exp","Standard.of.Care",0.736060606060606,110755.032079867
"62","HR_FP_Exp","Standard.of.Care",0.739494949494949,110814.134149733
"63","HR_FP_Exp","Standard.of.Care",0.742929292929293,110873.381720007
"64","HR_FP_Exp","Standard.of.Care",0.746363636363636,110932.775248414
"65","HR_FP_Exp","Standard.of.Care",0.74979797979798,110992.315196671
"66","HR_FP_Exp","Standard.of.Care",0.753232323232323,111052.002030469
"67","HR_FP_Exp","Standard.of.Care",0.756666666666667,111111.83621946
"68","HR_FP_Exp","Standard.of.Care",0.76010101010101,111171.818237237
"69","HR_FP_Exp","Standard.of.Care",0.763535353535354,111231.948561327
"70","HR_FP_Exp","Standard.of.Care",0.766969696969697,111292.227673173
"71","HR_FP_Exp","Standard.of.Care",0.77040404040404,111352.656058126
"72","HR_FP_Exp","Standard.of.Care",0.773838383838384,111413.234205433
"73","HR_FP_Exp","Standard.of.Care",0.777272727272727,111473.962608228
"74","HR_FP_Exp","Standard.of.Care",0.780707070707071,111534.84176352
"75","HR_FP_Exp","Standard.of.Care",0.784141414141414,111595.872172189
