"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","No Treatment",75955.611627141,15.6478707500224,NA,NA,NA,"ND"
"2","Treatment",143251.538769444,16.2915581468104,67295.9271423032,0.643687396788064,104547.529558763,"ND"
