"Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"SoC",21322.8289498008,0.532014287435339,NA,NA,NA,"ND"
"Exp",46155.4207175935,0.739404404607608,24832.5917677927,0.207390117172269,119738.549292421,"ND"
