"Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"SoC",64714.4607586037,0.612574657472931,NA,NA,NA,"ND"
"Bev",106413.195825822,0.785463659436495,41698.7350672179,0.172889001963564,241187.898557052,"ND"
