"","parameter","strategy","param_val","outcome_val"
"87","HR_FP_Exp","Standard.of.Care",0.825353535353535,116989.117814778
"88","HR_FP_Exp","Standard.of.Care",0.828787878787879,116775.01226971
"89","HR_FP_Exp","Standard.of.Care",0.832222222222222,116560.458133126
"90","HR_FP_Exp","Standard.of.Care",0.835656565656566,116345.453140214
"91","HR_FP_Exp","Standard.of.Care",0.839090909090909,116129.995019576
"92","HR_FP_Exp","Standard.of.Care",0.842525252525252,115914.081493127
"93","HR_FP_Exp","Standard.of.Care",0.845959595959596,115697.710275989
"94","HR_FP_Exp","Standard.of.Care",0.849393939393939,115480.879076377
"95","HR_FP_Exp","Standard.of.Care",0.852828282828283,115263.585595506
"96","HR_FP_Exp","Standard.of.Care",0.856262626262626,115045.827527476
"97","HR_FP_Exp","Standard.of.Care",0.85969696969697,114827.602559172
"98","HR_FP_Exp","Standard.of.Care",0.863131313131313,114608.908370157
"99","HR_FP_Exp","Standard.of.Care",0.866565656565657,114389.742632569
"100","HR_FP_Exp","Standard.of.Care",0.87,114170.103011013
"101","HR_FP_Exp","Experimental.Treatment",0.53,133961.4848413
"102","HR_FP_Exp","Experimental.Treatment",0.533434343434343,133777.923095587
"103","HR_FP_Exp","Experimental.Treatment",0.536868686868687,133594.096200958
"104","HR_FP_Exp","Experimental.Treatment",0.54030303030303,133410.001971086
"105","HR_FP_Exp","Experimental.Treatment",0.543737373737374,133225.638226344
"106","HR_FP_Exp","Experimental.Treatment",0.547171717171717,133041.00279355
"107","HR_FP_Exp","Experimental.Treatment",0.550606060606061,132856.093505705
"108","HR_FP_Exp","Experimental.Treatment",0.554040404040404,132670.908201742
"109","HR_FP_Exp","Experimental.Treatment",0.557474747474747,132485.444726279
"110","HR_FP_Exp","Experimental.Treatment",0.560909090909091,132299.700929374
"111","HR_FP_Exp","Experimental.Treatment",0.564343434343434,132113.674666284
"112","HR_FP_Exp","Experimental.Treatment",0.567777777777778,131927.363797232
"113","HR_FP_Exp","Experimental.Treatment",0.571212121212121,131740.766187175
"114","HR_FP_Exp","Experimental.Treatment",0.574646464646465,131553.879705575
"115","HR_FP_Exp","Experimental.Treatment",0.578080808080808,131366.702226178
"116","HR_FP_Exp","Experimental.Treatment",0.581515151515152,131179.23162679
"117","HR_FP_Exp","Experimental.Treatment",0.584949494949495,130991.465789068
"118","HR_FP_Exp","Experimental.Treatment",0.588383838383838,130803.402598297
"119","HR_FP_Exp","Experimental.Treatment",0.591818181818182,130615.039943191
"120","HR_FP_Exp","Experimental.Treatment",0.595252525252525,130426.37571568
"121","HR_FP_Exp","Experimental.Treatment",0.598686868686869,130237.407810712
"122","HR_FP_Exp","Experimental.Treatment",0.602121212121212,130048.13412605
"123","HR_FP_Exp","Experimental.Treatment",0.605555555555556,129858.552562076
"124","HR_FP_Exp","Experimental.Treatment",0.608989898989899,129668.661021603
"125","HR_FP_Exp","Experimental.Treatment",0.612424242424242,129478.457409677
"126","HR_FP_Exp","Experimental.Treatment",0.615858585858586,129287.939633394
"127","HR_FP_Exp","Experimental.Treatment",0.619292929292929,129097.105601717
"128","HR_FP_Exp","Experimental.Treatment",0.622727272727273,128905.953225288
"129","HR_FP_Exp","Experimental.Treatment",0.626161616161616,128714.480416254
"130","HR_FP_Exp","Experimental.Treatment",0.62959595959596,128522.685088091
"131","HR_FP_Exp","Experimental.Treatment",0.633030303030303,128330.565155423
"132","HR_FP_Exp","Experimental.Treatment",0.636464646464647,128138.118533857
"133","HR_FP_Exp","Experimental.Treatment",0.63989898989899,127945.343139812
"134","HR_FP_Exp","Experimental.Treatment",0.643333333333333,127752.236890351
"135","HR_FP_Exp","Experimental.Treatment",0.646767676767677,127558.797703015
"136","HR_FP_Exp","Experimental.Treatment",0.65020202020202,127365.023495663
