"","SoC","Exp"
"1",0.353415580531263,0.64007615791484
"2",0.30432148310871,0.605845726151674
"3",0.3179170178481,0.677700715646159
"4",0.295286875687303,0.634860406446895
"5",0.418501013362134,0.697011439765376
"6",0.311656817892757,0.541590898590886
"7",0.337554582618689,0.61245259603138
"8",0.336566257857191,0.583945587988511
"9",0.382420040323483,0.729125584775775
"10",0.297005030543896,0.635594362905387
"11",0.373663875838386,0.674519155922423
"12",0.325401722539914,0.720312007730196
"13",0.316809302120334,0.660186827316677
"14",0.370656028454512,0.674800851241115
"15",0.303873109457761,0.587323266208592
"16",0.333419660355872,0.621918593106228
"17",0.343797734980469,0.74088345463433
"18",0.354315185516533,0.656323745540631
"19",0.309269970704615,0.645785363944914
"20",0.332643894327879,0.69357000055657
"21",0.383580877259863,0.692723738310588
"22",0.338928984232501,0.67010531053688
"23",0.37766330422185,0.617429975045125
"24",0.381705062205203,0.720761772604071
"25",0.295624708138829,0.69585622434947
"26",0.39574135496405,0.64180759743895
"27",0.364856972170083,0.688289295305147
"28",0.267657717034743,0.455007331679347
"29",0.294822967380664,0.568736108977675
"30",0.303898185797772,0.566974961789987
"31",0.280112199078273,0.594116280869758
"32",0.322464164280619,0.587680852966819
"33",0.310149908516637,0.755772886410793
"34",0.336324416018417,0.676138582711545
"35",0.383125577615361,0.637266686608303
"36",0.404353679741688,0.691840568463588
"37",0.34839343183219,0.663198025731097
"38",0.268064844691555,0.498004883605079
"39",0.36762920802586,0.603632283073682
"40",0.4031901598674,0.645139928332699
"41",0.305758817207168,0.769455503034057
"42",0.306553273365172,0.672680499609264
"43",0.342146907205006,0.699427108716188
"44",0.301635733731294,0.556792337058315
"45",0.35403822497472,0.629239008781654
"46",0.301101816607,0.604298694006931
"47",0.308031527300883,0.632661900383439
"48",0.34386045654697,0.636236740666829
"49",0.354735129092905,0.645697377357413
"50",0.396326332346725,0.774931020924603
"51",0.340601450075342,0.708072379181207
"52",0.329582126346012,0.703249040204813
"53",0.383567717829548,0.586613221279823
"54",0.40855000057175,0.63751877151205
"55",0.326246647257733,0.620850862940018
"56",0.339658960353332,0.671498146708894
"57",0.335852731378397,0.617241569781141
"58",0.283028623009632,0.513243028770142
"59",0.361167665437585,0.732366074562508
"60",0.29936902870147,0.527650353371061
"61",0.33961205762936,0.748856235358125
"62",0.356209248252317,0.761524552915619
"63",0.338147656276878,0.60756329565548
"64",0.40788014492656,0.755113924066754
"65",0.281559606987018,0.58122560880831
"66",0.33170645327773,0.618348736158113
"67",0.302567153059553,0.630131989180259
