"","SoC","Exp"
"585",23449.1498290581,50169.2709491956
"586",20360.632136414,43477.3710347163
"587",21967.5207679242,40142.7898602966
"588",24141.737497768,52327.1914208433
"589",25319.7888685985,44002.3650737278
"590",20815.7432899479,47401.8162675897
"591",27802.5874225485,53621.9477592108
"592",22853.7903109402,57207.1845950002
"593",22870.7894288977,48352.1746509305
"594",20033.0708851444,45144.9362792207
"595",21509.151498263,46653.7620981403
"596",20821.3468931939,40831.3651171776
"597",21616.6041287787,50596.1758354521
"598",23044.02075534,45369.3939531079
"599",19847.118988244,36195.4125005144
"600",24421.5448380606,51446.99551972
"601",21586.99895179,43049.7293889981
"602",19804.7627839671,41241.6185664364
"603",20398.8151105607,51787.7563442226
"604",23052.2397829143,48519.5936074507
"605",20981.3175208464,43797.2823663185
"606",22215.1982334981,56490.3221813659
"607",20927.7604545881,52254.0124796551
"608",24988.7064592002,41764.1387184981
"609",23206.7576553032,43168.4325143124
"610",23324.8996451655,52718.7315323428
"611",21219.5161143083,38580.6905907264
"612",21402.5524952517,50069.6526956652
"613",19819.4321847815,46405.2717800991
"614",22027.9465190005,46453.0045042301
"615",22695.5506066224,49465.6203241054
"616",22627.0196210564,48907.8652073176
"617",21043.0630015171,45028.7503761049
"618",19184.4618447286,42223.2036828465
"619",21289.1095903599,45187.6942696005
"620",19451.3448916259,46303.6570192796
"621",21158.8703287976,51509.2455325041
"622",20825.6156804286,40248.7975381981
"623",24798.6449095819,54860.9396428378
"624",19812.7076531463,44525.2481873849
"625",22037.1915604983,42196.883923893
"626",20278.6143920687,45698.8226658751
"627",18752.5344376656,44760.6938796856
"628",24502.2155033592,46814.3670756561
"629",19632.0161086148,40379.38485691
"630",19877.983689283,46410.0513544411
"631",21254.8229964942,41292.6405886014
"632",22786.1275996573,58468.0045297706
"633",22582.6132433452,39985.8244234466
"634",19186.9086216486,39454.7867228823
"635",24361.1496734619,50333.9348476027
"636",24600.2117576566,55005.1393156074
"637",20753.0648266664,46484.0615253363
"638",18963.5661074937,45842.5604084738
"639",22697.5980838176,51693.0627808422
"640",20418.0566279551,48173.8940866944
"641",19622.3026709668,39332.9702215572
"642",23010.1936224157,48242.1210223504
"643",20341.3882389638,53876.7350795697
"644",20693.0750667588,56357.9093386516
"645",21179.7141404477,49143.3535202538
"646",20641.9241226944,46966.5155295644
"647",23818.580442348,45563.2777682083
"648",23249.2262621497,48935.0481782484
"649",20755.5269245321,51804.0512783496
"650",19310.9984556032,39663.6973037241
"651",19711.1662071447,44433.882394234
"652",18893.6447096066,42743.5183958804
"653",18460.8158879255,42366.0495380998
"654",23957.8301805428,49921.2071296482
"655",20733.1919819267,44299.4235086701
"656",21354.7975956129,45304.965012152
"657",20144.6745941658,39240.6412468983
"658",23008.0863036598,46928.7442912556
"659",19808.7244672777,49060.4417541602
"660",20400.6798775176,44209.7068685529
"661",21103.1586030621,49131.477769811
"662",19005.8869748743,44687.4415093368
"663",20350.5087665221,46268.8510051442
"664",18553.7811119673,46600.6341451775
"665",21284.6970012686,45167.7282661231
"666",22586.7034602265,46596.700465443
"667",23748.8840350148,49044.9631374088
"668",24012.9043204497,51628.4740968697
"669",25015.2427239576,52512.5819599889
"670",17715.7907450086,40294.119364837
"671",20082.0590243376,43218.19978317
"672",25056.2003140774,40136.4790475486
"673",18511.2613101163,44604.3689734249
"674",22287.1299685283,43309.8835482872
"675",24040.3093120852,53993.2782540472
"676",21679.666744599,51336.4697897028
"677",22076.2881290243,47236.029296766
"678",21291.0610573053,45502.5098485525
"679",19591.7380797745,48628.0829713116
"680",22955.541530617,49552.7360730449
"681",20071.2044231257,43073.0678549615
"682",22159.7168856348,45506.5465164053
"683",21382.0982533111,44755.8962286305
"684",24339.6336217083,46084.6772196686
"685",22546.3337219516,44984.5037254933
"686",21832.7687406905,45093.3534235851
"687",23007.0472591348,56773.6987870012
"688",21058.5653930482,47792.2921609768
"689",20214.6647502658,42804.0137515609
"690",21738.6422513183,51804.2393071104
"691",23145.3088034763,44001.2303458799
"692",20003.2569431085,44440.2040776978
"693",18989.0719876333,45670.2974237808
"694",23576.4510957015,46785.3377094349
"695",23936.7165622781,51682.2274353603
"696",18969.6414151662,48453.2709672026
"697",18336.4815125209,41442.1729969492
"698",21372.5449729368,48771.0049430343
"699",23025.9957317182,49996.9825895159
"700",24259.74175729,48259.9281888336
"701",22046.9731816159,49325.1746254462
"702",21796.4727099919,47590.2676334784
"703",19963.797550356,39828.4461510849
"704",22072.8685896617,48948.1749476486
"705",23408.689810222,52364.5980644582
"706",22066.3219423709,40676.0003151146
"707",17307.9258971091,39933.0664200942
"708",23087.0539049444,51134.1435090013
"709",21236.6880241859,44267.0054654704
"710",20826.4729638903,52283.4723332018
"711",20865.6416395046,51500.5195743617
"712",21567.1784249167,47466.9161170663
"713",21099.6272866281,45827.9092273522
"714",22565.3993995015,45123.1838100369
"715",20522.3667540267,41387.7188713696
"716",22701.8406420846,48676.7115407937
"717",20939.3339302044,40610.7112055476
"718",18557.2769056513,36634.690663675
"719",21887.065138323,43395.4586085241
"720",20891.0033576777,50926.521888332
"721",20177.3294238091,40647.0240481026
"722",20608.0530234395,44779.5241538712
"723",21375.3960934759,46482.6474339386
"724",21712.1368301903,43847.6938773009
"725",20544.4834214116,49498.7702478369
"726",21616.6234437864,44445.2689641477
"727",24285.7482136543,37013.6948990236
"728",21575.695768481,42459.6076074626
"729",24067.923671628,48750.9908099241
"730",19743.3248291819,45807.9720462253
"731",20960.5557131028,46487.6207468598
"732",17834.5578058293,38668.0694274267
"733",22770.4562134248,51350.8529870593
"734",22409.4145836763,41435.8264811377
"735",19673.5337769199,43404.5927291187
"736",20074.9699518257,48395.3837045219
"737",21720.8675640144,51022.4634780434
"738",21019.7969810431,43931.0164170579
"739",23690.4573276655,46498.7071821462
"740",21182.5953876105,37859.250809735
"741",19227.4522180078,43132.9051898828
"742",22278.3539126246,49934.0108490295
"743",20684.8455794314,42894.4588308352
